skill,kg_display_skill,skill_type,confirmation_min_job_mentions,first_seen_month,first_seen_standard_jobs,first_seen_job_count,is_left_censored,migration_confidence,migration_interpretation,latest_seen_month,latest_covered_job_count,cumulative_covered_job_count,spread_job_count,spread_standard_jobs,all_standard_jobs,confirmed_first_seen_month,confirmed_first_seen_standard_jobs,confirmed_first_seen_job_count,confirmed_cumulative_covered_job_count,confirmed_spread_job_count,confirmed_spread_standard_jobs,confirmed_migration_path,peak_monthly_covered_job_count,peak_monthly_covered_job_month,total_skill_mentions,migration_path,updated_at
IT基础设施,云计算,traditional,2,2024-12,服务器工程师; 硬件工程师; 质量工程师; 运维工程师,4,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,2,6,2,网络工程师; 驱动开发工程师,服务器工程师; 硬件工程师; 质量工程师; 运维工程师; 网络工程师; 驱动开发工程师,2025-01,服务器工程师; 网络工程师; 运维工程师,3,6,3,硬件工程师; 质量工程师; 驱动开发工程师,2025-01: 服务器工程师; 网络工程师; 运维工程师 -> 2025-02: 硬件工程师 -> 2025-12: 质量工程师 -> 2026-02: 驱动开发工程师,5,2026-02,87,2024-12: 服务器工程师; 硬件工程师; 质量工程师; 运维工程师 -> 2025-01: 网络工程师 -> 2026-01: 驱动开发工程师,2026-08-08T05:27:55+00:00
Java,编程语言,traditional,2,2024-12,AI Agent应用工程师; Android开发工程师; Java开发工程师; 云计算工程师; 信息安全工程师; 全栈开发工程师; 后端开发工程师; 图形图像工程师; 大模型测试工程师; 安全工程师; 客户端开发工程师; 广告算法工程师; 技术支持工程师; 推荐算法工程师; 搜索算法工程师; 数据仓库工程师; 数据开发工程师; 数据挖掘算法工程师; 机器学习算法工程师; 测试开发工程师; 算法工程师; 系统软件工程师; 网络安全工程师; 芯片设计工程师; 解决方案工程师; 质量工程师; 软件开发工程师; 软件架构师; 运维工程师; 风控算法工程师,30,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2026-07,27,45,15,AI Agent算法工程师; AI安全工程师; AI应用工程师; 数据平台工程师; 测试工程师; 通信工程师; DevOps工程师; 机器人算法工程师; iOS开发工程师; 网络工程师; 数据库工程师; 数据分析师; 服务器工程师; 自动驾驶算法工程师; 大模型应用工程师,AI Agent应用工程师; Android开发工程师; Java开发工程师; 云计算工程师; 信息安全工程师; 全栈开发工程师; 后端开发工程师; 图形图像工程师; 大模型测试工程师; 安全工程师; 客户端开发工程师; 广告算法工程师; 技术支持工程师; 推荐算法工程师; 搜索算法工程师; 数据仓库工程师; 数据开发工程师; 数据挖掘算法工程师; 机器学习算法工程师; 测试开发工程师; 算法工程师; 系统软件工程师; 网络安全工程师; 芯片设计工程师; 解决方案工程师; 质量工程师; 软件开发工程师; 软件架构师; 运维工程师; 风控算法工程师; AI Agent算法工程师; AI安全工程师; AI应用工程师; 数据平台工程师; 测试工程师; 通信工程师; DevOps工程师; 机器人算法工程师; iOS开发工程师; 网络工程师; 数据库工程师; 数据分析师; 服务器工程师; 自动驾驶算法工程师; 大模型应用工程师,2024-12,Android开发工程师; 信息安全工程师; 安全工程师; 客户端开发工程师; 技术支持工程师; 软件架构师,6,41,35,AI Agent应用工程师; AI应用工程师; Java开发工程师; 全栈开发工程师; 后端开发工程师; 图形图像工程师; 大模型测试工程师; 广告算法工程师; 推荐算法工程师; 搜索算法工程师; 数据平台工程师; 数据开发工程师; 机器学习算法工程师; 测试开发工程师; 算法工程师; 系统软件工程师; 网络安全工程师; 芯片设计工程师; 质量工程师; 软件开发工程师; 运维工程师; 风控算法工程师; AI安全工程师; 云计算工程师; 数据仓库工程师; 数据挖掘算法工程师; 测试工程师; 解决方案工程师; DevOps工程师; 机器人算法工程师; 通信工程师; 网络工程师; 服务器工程师; 数据分析师; 大模型应用工程师,2024-12: Android开发工程师; 信息安全工程师; 安全工程师; 客户端开发工程师; 技术支持工程师; 软件架构师 -> 2025-01: AI Agent应用工程师; AI应用工程师; Java开发工程师; 全栈开发工程师; 后端开发工程师; 图形图像工程师; 大模型测试工程师; 广告算法工程师; 推荐算法工程师; 搜索算法工程师; 数据平台工程师; 数据开发工程师; 机器学习算法工程师; 测试开发工程师; 算法工程师; 系统软件工程师; 网络安全工程师; 芯片设计工程师; 质量工程师; 软件开发工程师; 运维工程师; 风控算法工程师 -> 2025-02: AI安全工程师; 云计算工程师; 数据仓库工程师; 数据挖掘算法工程师; 测试工程师; 解决方案工程师 -> 2025-03: DevOps工程师; 机器人算法工程师 -> 2025-07: 通信工程师 -> 2026-02: 网络工程师 -> 2026-03: 服务器工程师 -> 2026-05: 数据分析师 -> 2026-07: 大模型应用工程师,32,2026-02,680,2024-12: AI Agent应用工程师; Android开发工程师; Java开发工程师; 云计算工程师; 信息安全工程师; 全栈开发工程师; 后端开发工程师; 图形图像工程师; 大模型测试工程师; 安全工程师; 客户端开发工程师; 广告算法工程师; 技术支持工程师; 推荐算法工程师; 搜索算法工程师; 数据仓库工程师; 数据开发工程师; 数据挖掘算法工程师; 机器学习算法工程师; 测试开发工程师; 算法工程师; 系统软件工程师; 网络安全工程师; 芯片设计工程师; 解决方案工程师; 质量工程师; 软件开发工程师; 软件架构师; 运维工程师; 风控算法工程师 -> 2025-01: AI Agent算法工程师; AI安全工程师; AI应用工程师; 数据平台工程师; 测试工程师; 通信工程师 -> 2025-02: DevOps工程师; 机器人算法工程师 -> 2025-03: iOS开发工程师 -> 2025-05: 网络工程师 -> 2025-06: 数据库工程师 -> 2025-10: 数据分析师 -> 2025-11: 服务器工程师; 自动驾驶算法工程师 -> 2026-07: 大模型应用工程师,2026-08-08T05:27:55+00:00
JavaScript,编程语言,traditional,2,2024-12,全栈开发工程师; 前端开发工程师; 测试开发工程师,3,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,4,7,4,AI应用工程师; 解决方案工程师; Android开发工程师; 网络工程师,全栈开发工程师; 前端开发工程师; 测试开发工程师; AI应用工程师; 解决方案工程师; Android开发工程师; 网络工程师,2025-01,全栈开发工程师; 前端开发工程师; 测试开发工程师,3,6,3,AI应用工程师; 解决方案工程师; 网络工程师,2025-01: 全栈开发工程师; 前端开发工程师; 测试开发工程师 -> 2025-02: AI应用工程师 -> 2025-03: 解决方案工程师 -> 2026-02: 网络工程师,5,2026-02,96,2024-12: 全栈开发工程师; 前端开发工程师; 测试开发工程师 -> 2025-01: AI应用工程师; 解决方案工程师 -> 2025-02: Android开发工程师 -> 2025-08: 网络工程师,2026-08-08T05:27:55+00:00
Kafka,数据工程,traditional,2,2024-12,全栈开发工程师; 后端开发工程师; 数据仓库工程师; 数据开发工程师; 软件开发工程师; 运维工程师,6,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2026-07,6,12,6,数据平台工程师; 解决方案工程师; 数据工程师; 语音算法工程师; 网络工程师; 安全工程师,全栈开发工程师; 后端开发工程师; 数据仓库工程师; 数据开发工程师; 软件开发工程师; 运维工程师; 数据平台工程师; 解决方案工程师; 数据工程师; 语音算法工程师; 网络工程师; 安全工程师,2024-12,数据开发工程师,1,9,8,后端开发工程师; 数据平台工程师; 软件开发工程师; 运维工程师; 数据仓库工程师; 全栈开发工程师; 安全工程师; 语音算法工程师,2024-12: 数据开发工程师 -> 2025-01: 后端开发工程师; 数据平台工程师; 软件开发工程师; 运维工程师 -> 2025-02: 数据仓库工程师 -> 2025-05: 全栈开发工程师 -> 2026-05: 安全工程师; 语音算法工程师,7,2026-05,131,2024-12: 全栈开发工程师; 后端开发工程师; 数据仓库工程师; 数据开发工程师; 软件开发工程师; 运维工程师 -> 2025-01: 数据平台工程师; 解决方案工程师 -> 2025-08: 数据工程师 -> 2025-09: 语音算法工程师 -> 2026-02: 网络工程师 -> 2026-04: 安全工程师,2026-08-08T05:27:55+00:00
Kotlin,编程语言,traditional,2,2024-12,Android开发工程师; 客户端开发工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,3,1,iOS开发工程师,Android开发工程师; 客户端开发工程师; iOS开发工程师,2024-12,客户端开发工程师,1,3,2,Android开发工程师; iOS开发工程师,2024-12: 客户端开发工程师 -> 2025-02: Android开发工程师 -> 2026-05: iOS开发工程师,2,2026-06,42,2024-12: Android开发工程师; 客户端开发工程师 -> 2025-03: iOS开发工程师,2026-08-08T05:27:55+00:00
Kubernetes,系统与运维,traditional,2,2024-12,云计算工程师; 安全工程师; 机器学习算法工程师; 自动驾驶算法工程师; 解决方案工程师; 软件开发工程师; 运维工程师,7,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2026-07,4,13,6,网络工程师; 服务器工程师; Python开发工程师; 数据仓库工程师; AI Infra工程师; 技术支持工程师,云计算工程师; 安全工程师; 机器学习算法工程师; 自动驾驶算法工程师; 解决方案工程师; 软件开发工程师; 运维工程师; 网络工程师; 服务器工程师; Python开发工程师; 数据仓库工程师; AI Infra工程师; 技术支持工程师,2024-12,自动驾驶算法工程师,1,11,10,机器学习算法工程师; 网络工程师; 解决方案工程师; 软件开发工程师; 运维工程师; 云计算工程师; 安全工程师; Python开发工程师; 服务器工程师; 技术支持工程师,2024-12: 自动驾驶算法工程师 -> 2025-01: 机器学习算法工程师; 网络工程师; 解决方案工程师; 软件开发工程师; 运维工程师 -> 2025-02: 云计算工程师; 安全工程师 -> 2025-06: Python开发工程师 -> 2025-11: 服务器工程师 -> 2026-05: 技术支持工程师,7,2026-02,123,2024-12: 云计算工程师; 安全工程师; 机器学习算法工程师; 自动驾驶算法工程师; 解决方案工程师; 软件开发工程师; 运维工程师 -> 2025-01: 网络工程师 -> 2025-03: 服务器工程师 -> 2025-04: Python开发工程师 -> 2026-01: 数据仓库工程师 -> 2026-03: AI Infra工程师 -> 2026-05: 技术支持工程师,2026-08-08T05:27:55+00:00
LLM,大模型,new,2,2024-12,大模型应用工程师; 大模型算法工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,12,14,12,AI Agent应用工程师; NLP算法工程师; 多模态算法工程师; AI Agent算法工程师; AIGC算法工程师; AI安全工程师; 软件架构师; AI产品经理; 后端开发工程师; 解决方案工程师; 前端开发工程师; 测试开发工程师,大模型应用工程师; 大模型算法工程师; AI Agent应用工程师; NLP算法工程师; 多模态算法工程师; AI Agent算法工程师; AIGC算法工程师; AI安全工程师; 软件架构师; AI产品经理; 后端开发工程师; 解决方案工程师; 前端开发工程师; 测试开发工程师,2024-12,大模型应用工程师; 大模型算法工程师,2,13,11,AI Agent应用工程师; AI Agent算法工程师; NLP算法工程师; 多模态算法工程师; AIGC算法工程师; 软件架构师; AI安全工程师; AI产品经理; 后端开发工程师; 解决方案工程师; 测试开发工程师,2024-12: 大模型应用工程师; 大模型算法工程师 -> 2025-02: AI Agent应用工程师; AI Agent算法工程师; NLP算法工程师; 多模态算法工程师 -> 2025-04: AIGC算法工程师 -> 2025-05: 软件架构师 -> 2025-06: AI安全工程师 -> 2025-07: AI产品经理 -> 2025-09: 后端开发工程师; 解决方案工程师 -> 2026-04: 测试开发工程师,13,2026-02,259,2024-12: 大模型应用工程师; 大模型算法工程师 -> 2025-01: AI Agent应用工程师; NLP算法工程师; 多模态算法工程师 -> 2025-02: AI Agent算法工程师 -> 2025-03: AIGC算法工程师 -> 2025-05: AI安全工程师; 软件架构师 -> 2025-07: AI产品经理; 后端开发工程师; 解决方案工程师 -> 2026-02: 前端开发工程师 -> 2026-04: 测试开发工程师,2026-08-08T05:27:55+00:00
LangChain,大模型,new,2,2025-01,AI Agent应用工程师; 大模型应用工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,6,10,8,后端开发工程师; 软件架构师; 全栈开发工程师; AI产品经理; 解决方案工程师; 测试开发工程师; Java开发工程师; 前端开发工程师,AI Agent应用工程师; 大模型应用工程师; 后端开发工程师; 软件架构师; 全栈开发工程师; AI产品经理; 解决方案工程师; 测试开发工程师; Java开发工程师; 前端开发工程师,2025-01,AI Agent应用工程师; 大模型应用工程师,2,6,4,软件架构师; 全栈开发工程师; 解决方案工程师; AI产品经理,2025-01: AI Agent应用工程师; 大模型应用工程师 -> 2025-03: 软件架构师 -> 2025-05: 全栈开发工程师 -> 2025-07: 解决方案工程师 -> 2025-08: AI产品经理,6,2026-07,105,2025-01: AI Agent应用工程师; 大模型应用工程师 -> 2025-03: 后端开发工程师; 软件架构师 -> 2025-04: 全栈开发工程师 -> 2025-07: AI产品经理; 解决方案工程师 -> 2025-08: 测试开发工程师 -> 2026-03: Java开发工程师 -> 2026-04: 前端开发工程师,2026-08-08T05:27:55+00:00
LangGraph,大模型,new,2,2025-02,AI Agent应用工程师,1,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,3,7,6,AI Agent算法工程师; 大模型应用工程师; 软件架构师; 全栈开发工程师; AI产品经理; 测试开发工程师,AI Agent应用工程师; AI Agent算法工程师; 大模型应用工程师; 软件架构师; 全栈开发工程师; AI产品经理; 测试开发工程师,2025-02,AI Agent应用工程师,1,3,2,软件架构师; 全栈开发工程师,2025-02: AI Agent应用工程师 -> 2025-05: 软件架构师 -> 2025-11: 全栈开发工程师,4,2026-02,47,2025-02: AI Agent应用工程师 -> 2025-03: AI Agent算法工程师 -> 2025-04: 大模型应用工程师; 软件架构师 -> 2025-10: 全栈开发工程师 -> 2026-02: AI产品经理 -> 2026-05: 测试开发工程师,2026-08-08T05:27:55+00:00
Linux,系统与运维,traditional,2,2024-12,AI Agent应用工程师; AI Infra工程师; AIGC算法工程师; C++开发工程师; Go开发工程师; Java开发工程师; Python开发工程师; 云计算工程师; 后端开发工程师; 嵌入式软件工程师; 广告算法工程师; 技术支持工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 机器学习算法工程师; 测试开发工程师; 硬件工程师; 算法工程师; 系统软件工程师; 自动驾驶算法工程师; 芯片验证工程师; 解决方案工程师; 语音算法工程师; 软件开发工程师; 运维工程师; 驱动开发工程师,27,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2026-07,22,35,8,DevOps工程师; 测试工程师; 质量工程师; iOS开发工程师; 数据分析师; 安全工程师; 算法研究员; 数据平台工程师,AI Agent应用工程师; AI Infra工程师; AIGC算法工程师; C++开发工程师; Go开发工程师; Java开发工程师; Python开发工程师; 云计算工程师; 后端开发工程师; 嵌入式软件工程师; 广告算法工程师; 技术支持工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 机器学习算法工程师; 测试开发工程师; 硬件工程师; 算法工程师; 系统软件工程师; 自动驾驶算法工程师; 芯片验证工程师; 解决方案工程师; 语音算法工程师; 软件开发工程师; 运维工程师; 驱动开发工程师; DevOps工程师; 测试工程师; 质量工程师; iOS开发工程师; 数据分析师; 安全工程师; 算法研究员; 数据平台工程师,2024-12,AI Infra工程师; Python开发工程师; 嵌入式软件工程师; 技术支持工程师; 搜索算法工程师; 硬件工程师; 系统软件工程师; 解决方案工程师,8,32,24,AIGC算法工程师; C++开发工程师; Go开发工程师; Java开发工程师; 后端开发工程师; 广告算法工程师; 推荐算法工程师; 数据库工程师; 机器学习算法工程师; 测试开发工程师; 算法工程师; 自动驾驶算法工程师; 芯片验证工程师; 语音算法工程师; 软件开发工程师; 运维工程师; 驱动开发工程师; DevOps工程师; 云计算工程师; 测试工程师; 质量工程师; iOS开发工程师; 数据分析师; 安全工程师,2024-12: AI Infra工程师; Python开发工程师; 嵌入式软件工程师; 技术支持工程师; 搜索算法工程师; 硬件工程师; 系统软件工程师; 解决方案工程师 -> 2025-01: AIGC算法工程师; C++开发工程师; Go开发工程师; Java开发工程师; 后端开发工程师; 广告算法工程师; 推荐算法工程师; 数据库工程师; 机器学习算法工程师; 测试开发工程师; 算法工程师; 自动驾驶算法工程师; 芯片验证工程师; 语音算法工程师; 软件开发工程师; 运维工程师; 驱动开发工程师 -> 2025-02: DevOps工程师; 云计算工程师; 测试工程师; 质量工程师 -> 2025-06: iOS开发工程师 -> 2025-09: 数据分析师 -> 2026-04: 安全工程师,28,2025-02,578,2024-12: AI Agent应用工程师; AI Infra工程师; AIGC算法工程师; C++开发工程师; Go开发工程师; Java开发工程师; Python开发工程师; 云计算工程师; 后端开发工程师; 嵌入式软件工程师; 广告算法工程师; 技术支持工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 机器学习算法工程师; 测试开发工程师; 硬件工程师; 算法工程师; 系统软件工程师; 自动驾驶算法工程师; 芯片验证工程师; 解决方案工程师; 语音算法工程师; 软件开发工程师; 运维工程师; 驱动开发工程师 -> 2025-01: DevOps工程师; 测试工程师; 质量工程师 -> 2025-02: iOS开发工程师; 数据分析师 -> 2025-07: 安全工程师 -> 2026-05: 算法研究员 -> 2026-07: 数据平台工程师,2026-08-08T05:27:55+00:00
LoRA微调,大模型,new,2,2024-12,大模型应用工程师; 大模型算法工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,5,8,6,NLP算法工程师; AI Agent算法工程师; AI产品经理; 解决方案工程师; 后端开发工程师; 测试开发工程师,大模型应用工程师; 大模型算法工程师; NLP算法工程师; AI Agent算法工程师; AI产品经理; 解决方案工程师; 后端开发工程师; 测试开发工程师,2024-12,大模型应用工程师,1,5,4,大模型算法工程师; NLP算法工程师; 解决方案工程师; AI产品经理,2024-12: 大模型应用工程师 -> 2025-01: 大模型算法工程师 -> 2025-02: NLP算法工程师 -> 2025-05: 解决方案工程师 -> 2025-06: AI产品经理,6,2026-02,112,2024-12: 大模型应用工程师; 大模型算法工程师 -> 2025-01: NLP算法工程师 -> 2025-02: AI Agent算法工程师 -> 2025-05: AI产品经理; 解决方案工程师 -> 2025-06: 后端开发工程师 -> 2026-02: 测试开发工程师,2026-08-08T05:27:55+00:00
Lua,编程语言,traditional,2,2024-12,客户端开发工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,2,1,运维工程师,客户端开发工程师; 运维工程师,2025-01,客户端开发工程师,1,1,0,,2025-01: 客户端开发工程师,2,2026-04,23,2024-12: 客户端开发工程师 -> 2026-04: 运维工程师,2026-08-08T05:27:55+00:00
MCP,大模型,new,2,2025-04,AI Agent应用工程师; 大模型应用工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,6,9,7,后端开发工程师; 软件架构师; DevOps工程师; 全栈开发工程师; 解决方案工程师; AI产品经理; 测试开发工程师,AI Agent应用工程师; 大模型应用工程师; 后端开发工程师; 软件架构师; DevOps工程师; 全栈开发工程师; 解决方案工程师; AI产品经理; 测试开发工程师,2025-04,AI Agent应用工程师,1,7,6,大模型应用工程师; 软件架构师; DevOps工程师; 全栈开发工程师; 解决方案工程师; 后端开发工程师,2025-04: AI Agent应用工程师 -> 2025-05: 大模型应用工程师; 软件架构师 -> 2025-10: DevOps工程师 -> 2025-12: 全栈开发工程师; 解决方案工程师 -> 2026-06: 后端开发工程师,8,2026-06,78,2025-04: AI Agent应用工程师; 大模型应用工程师 -> 2025-05: 后端开发工程师; 软件架构师 -> 2025-09: DevOps工程师 -> 2025-11: 全栈开发工程师; 解决方案工程师 -> 2026-03: AI产品经理 -> 2026-06: 测试开发工程师,2026-08-08T05:27:55+00:00
Machine Learning,AI,new,2,2024-12,AI Agent算法工程师; AIGC算法工程师; 大模型测试工程师; 大模型算法工程师; 广告算法工程师; 技术支持工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据分析师; 数据挖掘算法工程师; 机器人软件工程师; 机器学习算法工程师; 算法工程师; 算法研究员; 自动驾驶算法工程师; 芯片设计工程师; 风控算法工程师; 驱动开发工程师,19,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2026-07,21,28,9,AI应用工程师; Python开发工程师; 数据工程师; 机器人算法工程师; 语音算法工程师; C++开发工程师; 安全工程师; 网络安全工程师; 服务器工程师,AI Agent算法工程师; AIGC算法工程师; 大模型测试工程师; 大模型算法工程师; 广告算法工程师; 技术支持工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据分析师; 数据挖掘算法工程师; 机器人软件工程师; 机器学习算法工程师; 算法工程师; 算法研究员; 自动驾驶算法工程师; 芯片设计工程师; 风控算法工程师; 驱动开发工程师; AI应用工程师; Python开发工程师; 数据工程师; 机器人算法工程师; 语音算法工程师; C++开发工程师; 安全工程师; 网络安全工程师; 服务器工程师,2024-12,大模型测试工程师; 技术支持工程师; 搜索算法工程师,3,28,25,AI Agent算法工程师; AIGC算法工程师; Python开发工程师; 大模型算法工程师; 广告算法工程师; 控制算法工程师; 推荐算法工程师; 机器人软件工程师; 机器学习算法工程师; 算法工程师; 算法研究员; 自动驾驶算法工程师; 芯片设计工程师; 风控算法工程师; 驱动开发工程师; AI应用工程师; 数据挖掘算法工程师; 机器人算法工程师; 数据工程师; C++开发工程师; 安全工程师; 网络安全工程师; 数据分析师; 服务器工程师; 语音算法工程师,2024-12: 大模型测试工程师; 技术支持工程师; 搜索算法工程师 -> 2025-01: AI Agent算法工程师; AIGC算法工程师; Python开发工程师; 大模型算法工程师; 广告算法工程师; 控制算法工程师; 推荐算法工程师; 机器人软件工程师; 机器学习算法工程师; 算法工程师; 算法研究员; 自动驾驶算法工程师; 芯片设计工程师; 风控算法工程师; 驱动开发工程师 -> 2025-02: AI应用工程师; 数据挖掘算法工程师 -> 2025-03: 机器人算法工程师 -> 2025-04: 数据工程师 -> 2025-06: C++开发工程师 -> 2025-09: 安全工程师 -> 2025-11: 网络安全工程师 -> 2026-01: 数据分析师; 服务器工程师 -> 2026-07: 语音算法工程师,22,2026-02,475,2024-12: AI Agent算法工程师; AIGC算法工程师; 大模型测试工程师; 大模型算法工程师; 广告算法工程师; 技术支持工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据分析师; 数据挖掘算法工程师; 机器人软件工程师; 机器学习算法工程师; 算法工程师; 算法研究员; 自动驾驶算法工程师; 芯片设计工程师; 风控算法工程师; 驱动开发工程师 -> 2025-01: AI应用工程师; Python开发工程师; 数据工程师 -> 2025-02: 机器人算法工程师; 语音算法工程师 -> 2025-06: C++开发工程师 -> 2025-07: 安全工程师 -> 2025-09: 网络安全工程师 -> 2025-11: 服务器工程师,2026-08-08T05:27:55+00:00
Megatron,大模型,new,2,2024-12,AI Infra工程师; 大模型算法工程师,2,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,6,9,7,多模态算法工程师; NLP算法工程师; 系统软件工程师; DevOps工程师; 云计算工程师; 解决方案工程师; 后端开发工程师,AI Infra工程师; 大模型算法工程师; 多模态算法工程师; NLP算法工程师; 系统软件工程师; DevOps工程师; 云计算工程师; 解决方案工程师; 后端开发工程师,2024-12,AI Infra工程师; 大模型算法工程师,2,7,5,多模态算法工程师; 系统软件工程师; NLP算法工程师; DevOps工程师; 云计算工程师,2024-12: AI Infra工程师; 大模型算法工程师 -> 2025-02: 多模态算法工程师; 系统软件工程师 -> 2025-03: NLP算法工程师 -> 2025-10: DevOps工程师 -> 2025-11: 云计算工程师,8,2026-03,148,2024-12: AI Infra工程师; 大模型算法工程师 -> 2025-01: 多模态算法工程师 -> 2025-02: NLP算法工程师; 系统软件工程师 -> 2025-09: DevOps工程师 -> 2025-10: 云计算工程师 -> 2026-02: 解决方案工程师 -> 2026-03: 后端开发工程师,2026-08-08T05:27:55+00:00
MongoDB,数据工程,traditional,2,2025-05,Go开发工程师,1,0,medium,传统技能在观测期内首次出现，可分析样本内扩散，但不代表行业真实首次出现,2025-12,1,2,1,C++开发工程师,Go开发工程师; C++开发工程师,,,0,0,0,,,1,2025-12,2,2025-05: Go开发工程师 -> 2025-12: C++开发工程师,2026-08-08T05:27:55+00:00
Multi-Agent,大模型,new,2,2025-02,AI Agent应用工程师; AI Agent算法工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,3,6,4,大模型应用工程师; 软件架构师; 测试开发工程师; AI产品经理,AI Agent应用工程师; AI Agent算法工程师; 大模型应用工程师; 软件架构师; 测试开发工程师; AI产品经理,2025-02,AI Agent算法工程师,1,3,2,AI Agent应用工程师; 软件架构师,2025-02: AI Agent算法工程师 -> 2025-03: AI Agent应用工程师 -> 2025-05: 软件架构师,4,2026-02,65,2025-02: AI Agent应用工程师; AI Agent算法工程师 -> 2025-04: 大模型应用工程师; 软件架构师 -> 2025-09: 测试开发工程师 -> 2026-02: AI产品经理,2026-08-08T05:27:55+00:00
Multimodal AI,大模型,new,2,2025-01,多模态算法工程师; 大模型算法工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,5,9,7,AIGC算法工程师; 计算机视觉算法工程师; AI Agent应用工程师; 大模型应用工程师; AI产品经理; 解决方案工程师; 前端开发工程师,多模态算法工程师; 大模型算法工程师; AIGC算法工程师; 计算机视觉算法工程师; AI Agent应用工程师; 大模型应用工程师; AI产品经理; 解决方案工程师; 前端开发工程师,2025-02,多模态算法工程师; 大模型算法工程师,2,5,3,计算机视觉算法工程师; AIGC算法工程师; AI产品经理,2025-02: 多模态算法工程师; 大模型算法工程师 -> 2025-03: 计算机视觉算法工程师 -> 2025-04: AIGC算法工程师 -> 2025-09: AI产品经理,6,2026-03,104,2025-01: 多模态算法工程师; 大模型算法工程师 -> 2025-03: AIGC算法工程师; 计算机视觉算法工程师 -> 2025-06: AI Agent应用工程师; 大模型应用工程师 -> 2025-08: AI产品经理 -> 2026-02: 解决方案工程师 -> 2026-03: 前端开发工程师,2026-08-08T05:27:55+00:00
MyBatis,软件开发,traditional,2,2024-12,Java开发工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,1,0,,Java开发工程师,2025-01,Java开发工程师,1,1,0,,2025-01: Java开发工程师,1,2026-07,21,2024-12: Java开发工程师,2026-08-08T05:27:55+00:00
