source_job_title,jd_text,gold_standard_job,gold_skills
后端开发工程师（治理平台）-TikTok生活服务,"岗位职责：
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。
TikTok Local Services，我们以‘激发新生活，助力好生意’为使命，致力于成为全球用户与合作伙伴的首选生活服务平台。我们不断努力为用户提供更丰富、独特的生活体验，同时为合作伙伴打造一个包容且公平的健康商业生态。在这里，你将充分参与国际化生活服务业务的各个阶段，经历早期到全球布局流程。

1、负责TikTok生活服务治理业务的相关后端研发工作，完成各个系统的架构设计和开发工作，支撑业务快速迭代；
2、对不同周期和紧急程度的产品需求进行合理拆解实现；
3、进行相关产品的技术文档编写，方案设计；
4、深入理解生活服务业务，挖掘业务痛点并在系统内落地。

任职要求：
1、熟悉Java/Golang/Python/C++等至少一门语言，Java、Golang经验者优先；
2、熟悉常用的互联网技术，包括但不限于Linux系统及原理、MySQL、RPC、MQ、缓存技术、微服务架构等；
3、具有良好的编码和文档习惯，注重代码风格，熟悉基础设计模式和原则，能持续的关注和优化自己做的项目；
4、积极乐观，责任心强，具备良好的服务意识及沟通协作能力。",后端开发工程师,Java; Golang; Python; C++; Linux; MySQL; RPC; MQ; 微服务架构
搜索-国际化短视频推荐算法工程师,"岗位职责：
团队介绍：国际化短视频搜索团队主要负责国际化短视频的搜索算法创新和架构研发工作。我们使用最前沿的机器学习技术进行端到端建模并不断创新突破，同时专注于分布式系统、机器学习系统的构建和性能优化，从内存、Disk等优化到索引压缩、召回、排序等算法的探索，充分给同学们提供成长自我的机会。主要工作方向包括：
1、探索最前沿的NLP技术：从基础的分词、NER，到应用上的Query分析、基础相关性等，全链路应用深度学习模型，每个细节都充满挑战；
2、跨模态匹配技术：在搜索中应用CV+NLP深度学习技术，让视频搜索拥有更强大的检索能力；
3、大规模流式机器学习技术：应用大规模机器学习，解决搜索中的推荐问题，让搜索更加个性化更加懂你；
4、千亿级数据规模的架构：从大规模离线计算，分布式系统的性能、调度优化，到构建高可用、高吞吐和低延迟的在线服务的方方面面都有深入研究和创新。 	
主要负责：
1、参与国际化短视频，以及国际化短电商，生活服务等重点业务的搜索推荐模型和策略改进，负责这些业务的搜索流量和用户渗透增长 & 搜索心智建设任务；
2、以推荐算法为核心技术栈，改进基于超大规模机器学习模型的推荐系统，覆盖从候选挖掘到召回，粗排，精排，多目标融合全链路技术环节；
3、探索短文本推荐和通用推荐技术的上限，重点是推荐和NLP技术的联合应用，以及多模态等前沿技术的探索。

业务介绍
1、搜索增长业务：团队负责的功能和场景，基本覆盖了绝大多数的搜索流量并且是过去TikTok搜索流量增长的最大原因。手段包含引导/激发/便捷化搜索发生之前的全流程，如主feed里视频/评论激发的推荐query场景，搜索前的输入补全和搜索后的结果相关搜索场景。 不仅为搜索带来更多流量，也使得流量本身的单位价值更高；
2、电商搜索增长业务：电商是app重要的变现手段，搜索作为其中货架心智建设的关键一环，电商搜索流量的增长和心智的建立，在其中起到重要作用；
3、搜索与端的结合：作为搜索业务，同样负责fyp排序里搜索相关的排序逻辑，改变端的生态激发用户搜索探索更多内容的意愿。并且用用户的搜索行为，为用户提供更好的feed浏览体验。

任职要求：
1、基础要求：较好的算法设计能力和工程实现能力，有机器学习/强化学习/NLP应用（其一）的实践经验；
2、具备良好的沟通和表达能力，对好的用户体验有自己的认识，有较好的产品意识者优先。

加分项：
1、有大规模（候选大，用户量大）推荐系统优化经验者优先；
2、有大规模NLP语言模型预训练经验优先；
3、参加过ACM等竞赛并取得好名次者优先。",推荐算法工程师,算法设计; 机器学习; 强化学习; NLP; 模型预训练
后端开发工程师-商业化交易中台,"岗位职责：
团队介绍：国际化广告CRM与交易团队，负责构建和维护全球广告客户关系管理和资金交易管理平台，为销售和客户提供智能化营销解决方案。我们致力于打造稳定、灵活且智能的平台，提升商业化效率和客户满意度，保障客户资金交易的稳定性和安全性，为广告商业变现实现收入、风险、效率与体验之间的平衡。

1、AI技术应用与研发效能提升：积极拥抱AI时代，在日常研发中深度应用AI Coding工具，探索并沉淀AI辅助编程、自动化测试生成等最佳实践，持续提升个人与团队的研发效能；同时深度探索LLM与Agent技术在交易流程、客户管理、激励、合规与风控、授信决策、问题诊断和智能审批等场景中的落地，设计可落地的系统方案，用AI赋能业务的指数级增长，推动业务指标与用户体验提升；
2、交易平台系统开发与维护：负责支撑国际化广告全球变现的交易平台系统开发，搭建并维护客户全流程交易能力（涵盖签约、资金、计费、结算等环节），支持达成千亿规模的营收目标，保障商业变现过程高效且合规；
3、技术攻坚与架构升级：承担交易平台架构升级、AI大模型业务落地、复杂模型设计等重难点技术攻坚，处理全球多国家/地区业务的复杂业务逻辑和合规要求；
4、系统性能与稳定性优化：持续改善服务稳定性和性能等技术问题，优化高并发、大数据量处理场景下的系统性能，提升全球用户体验；
5、业务协作与需求交付：参与业务需求和规划的讨论与制定，和产品经理高效合作，按时按质量完成交付，助力业务快速发展。

任职要求：
1、本科及以上学历，计算机、软件工程等相关专业，基础知识扎实；
2、3年及以上AI技术相关经验，具备To B复杂系统项目设计经验，有负责人跨团队项目经验优先；
3、熟悉面向对象设计和开发，对代码有高度追求，熟悉Java/Go/C++/Python中的至少一门编程语言；熟悉分布式系统的挑战和解决方案，掌握常见中间件的使用以及原理；
4、学习能力强，有良好的自驱力，具备独立解决问题的能力；责任心强，具备良好的沟通协作和项目推动能力；
5、具备AI原生思维，习惯并善于利用AI工具提升工作效率，对新技术保持敏锐的感知和热情；
6、有LLM应用层开发经验（如熟悉Agent开发、Prompt Engineering、RAG架构等）者优先。",后端开发工程师,Java; Go; C++; Python; 分布式系统; LLM; Ai Coding
后端开发实习生-TikTok用户增长,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。
 
我们是 TikTok用户增长技术团队，我们是公司全球战略的核心引擎之一，是连接全球亿万用户与精彩内容的第一座桥梁。我们的使命非常纯粹：用技术驱动增长，让TikTok成为全球每一个角落的用户发现快乐、激发创造的平台。
我们的工作远不止是写代码，我们是用技术解决真实世界商业问题的增长建造师。在业务上，我们直面激烈的技术前沿战场： 我们负责全球用户的拉新、促活、留存与变现，你都将会深度参与；你的每一个技术决策和代码实现，都助力着我们全球化业务的发展；这种直接创造价值、见证全球性影响的成就感，是无与伦比的。在技术上，我们挑战的是业界硬核的难题：极致性能下的全球高并发、复杂至极的全球化架构与合规、数据驱动与AI的科学赋能、用户端侧体验的极致打磨。

1、参与TikTok等业务全球用户增长的付费投放系统的设计与开发；
2、参与国际多机房设计，隐私合规改造，数据抓取与回传等基础服务建设；
3、开发广告投放、素材制作、媒体渠道对接、事件管理、数据归因等主要服务；
4、应用AIGC能力，探索素材洞察、智能模版拼接、AIGC素材效果验证与能力沉淀等工作。

任职要求：
1、2027届本科及以上学历在读，计算机科学、软件工程、信息技术或相关专业；
2、熟悉Golang、Python、Java等编程语言和相关框架，对数据结构与算法有很好的掌握；
3、熟悉系统设计与分布式架构，掌握MySQL、Redis、ClickHouse、Flink等系统与组件；
4、有较强的自驱力和责任心，有后端开发的实习经验，参与过完整的项目的开发者优先。",后端开发工程师,Golang; Python; Java; 分布式架构; MySQL; Redis; ClickHouse; Flink; AIGC
测试开发工程师（钱包与资金平台）-TikTok直播,"岗位职责：
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok直播研发团队，旨在实现TikTok直播业务的研发工作，搭建及维护业界领先的产品。
加入我们，你能接触到包括：社交互动、营收活动、主播生态、消费订阅、游戏直播、公会&运营平台等核心业务场景，支持产品在全球赛道上高速发展；
也能接触到包括服务架构、大模型算法、基础技术等方向上的技术挑战，保障业务持续高质量、高效率、且安全地为用户服务；同时还能为不同业务场景提供全面的技术解决方案，优化各项产品指标及用户体验。
在这里， 有大牛带队与大家一同不断探索前沿， 突破想象空间；
在这里，你的每一行代码都将服务亿万用户；
在这里，团队专业且纯粹，合作氛围平等且轻松；
目前在北京，上海，杭州、广州、深圳分别开放多个岗位机会。

1、负责TikTok直播钱包全球支付系统中交易、订单、渠道、对账等多个子系统的测试，支撑业务的快速发展；
2、参与钱包全球支付系统总体架构设计，提升系统性能和开发效率，保证高并发高可靠，易于维护与扩展；
3、通过不断的技术研究和创新，推动业务的快速发展和高效迭代。

任职要求：
1、有扎实的编程能力，熟悉Java/php/C++/Go/Python中的至少一种技术语言；
2、深刻理解计算机原理，有良好的数据结构和算法基础；
3、有优秀的系统设计能力，熟练掌握数据库、缓存、消息队列的原理及应用；
4、学习能力强，对产品有强烈的责任心，具备良好的沟通能力和优秀的团队协作能力；
5、加分项：有支付、电商等相关经验，良好的英文能力。",测试开发工程师,Java; PHP; C++; Go; Python; 数据库
【LongCat大模型人才校招】语音大模型算法研究员,"岗位职责：
LongCat 是美团基础研发自主研发的大模型，覆盖语言、视觉、语音、具身全栈。LongCat 相继推出 LongCat-Flash、LongCat-Flash-Thinking、LongCat-Flash-Omni 等系列模型，正在构建支撑 LongCat全场景的语音大模型。加入团队你将参与如下工作：
1. LLM-ASR 模型演进，研究端到端语音识别大模型的架构与训练范式，攻克复杂声学、多说话人、专业术语热词等核心场景。
2. 下一代 TTS 模型探索，研发上下文感知的语音合成大模型，攻克音色 / 情绪 / 语速 / 方言多属性可控、首包延时与自然度的平衡，逼近真人级表达力。
3. 声纹与说话人建模，研究大规模声纹基座模型与多说话人分离算法，构建早期注入、多场景泛化的声纹能力底座。
4. 语音与多模态融合探索，研究语音表征与 LLM、视觉模态的统一建模范式，作为 Omni 模型的语音底座，支撑下一代多模态实时交互。
【为什么是我们】
1.全栈顶配算力支持，依托美团大规模算力集群，提供千卡至万卡级算力支持，具备成熟的分布式训练与低延迟推理优化栈，保障 世界动作模型与 VLA 大规模训练。
2.与优秀人才同行，你将与行业顶尖的大模型研究员及机器人领域专家并肩作战，共同攻克具身智能的技术难点。

任职要求：
1.计算机、电子工程、声学、人工智能等相关专业硕士/博士学位，具备扎实的语音信号处理或语音机器学习理论功底；
2.在 ICASSP / Interspeech / NeurIPS / ICLR / ACL 等顶级会议发表过高水平论文者优先；
3.深入理解 ASR / TTS / Speaker Verification / Speech LM / Audio Tokenization 等至少一项前沿技术；
4.精通 PyTorch，具备大规模分布式训练（千卡及以上集群）或大规模语音数据管线构建经验；",语音算法工程师,语音信号处理; 机器学习; ASR; TTS; Speaker Verification; Speech LM; Audio Tokenization; PyTorch; 分布式训练
大模型算法实习生-TikTok业务风控,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok业务风控团队致力于保护 TikTok 的用户权益，包括但不限于内容消费者、创造者、商业客户等。我们通过建设高效的风控系统和智能的风控算法，提供端到端技术解决方案，以保证平台的健康与社区体验的真实性，为TikTok 业务保驾护航。

1、负责AI应用的算法研发和LLM（大语言模型）效果优化工作，推动最前沿技术的探索和应用；
2、提升基于LLM（大语言模型）的自然语言理解的能力，比如内容理解/分类、向量召回，结构化，短文本/长文本的表征学习等；
3、结合最前沿的LLM（大语言模型）技术，对用户行为/特征进行总结、理解、分类等探索；
4、探索Agent在复杂任务中的应用，实现基于LLM（大语言模型）的复杂任务在风控领域场景的应用落地。

任职要求：
1、2027届本科及以上学历在读，计算机科学与技术、人工智能相关专业优先；
2、掌握LLM（大语言模型）的算法原理、Fine-tuning、Prompt Engineering、向量数据库和LangChain/AutoGen等Agent应用框架者优先；了解最新的LLM技术，有训练或应用经验加分；
3、良好的设计和编码风格，热爱写代码，能产出高质量的设计和代码；
4、出色的分析问题、解决问题能力，能从纷繁复杂的数据中看出问题本质；
5、有主流风控策略、LLM系统的算法研发经验加分；
6、责任心强，积极主动，有良好的沟通能力和团队合作能力。",大模型算法工程师,LLM; Fine-tuning; Prompt Engineering; 向量数据库; LangChain; AutoGen; Agent
搜索算法工程师-抖音,"岗位职责：
团队介绍：字节跳动抖音搜索团队主要负责抖音搜索算法创新和架构研发工作，主要包括短视频、直播、本地生活、视觉搜索等多个业务线。我们使用最前沿的机器学习技术进行端到端建模并不断创新突破，同时专注于分布式系统、机器学习系统的构建和性能优化，从内存、Disk等优化到索引压缩、召回、排序等算法的探索，充分给同学们提供成长自我的机会。主要工作方向包括：1、探索前沿的NLP技术：从基础的分词、NER，到应用上的Query分析、基础相关性等，全链路应用深度学习模型，每个细节都充满挑战；2、跨模态匹配技术：在搜索中应用CV+NLP深度学习技术，让视频搜索拥有更强大的检索能力；3、大规模流式机器学习技术：应用大规模机器学习，解决搜索中的推荐问题，让搜索更加个性化更加懂你；4、千亿级数据规模的架构：从大规模离线计算，分布式系统的性能、调度优化，到构建高可用、高吞吐和低延迟的在线服务的方方面面都有深入研究和创新。

具体负责：
1、参与抖音搜索的核心算法改进工作：用最先进的NLP、CV、CTR预估等技术不断提高搜索结果的精度，持续提升用户的搜索体验 ；
2、可能的方向包括：
1）匹配技术（文本匹配和多模匹配）：匹配技术是搜索引擎的核心。在抖音搜索，你将有机会应用最前沿的NLP和CV技术为每一个query匹配最相关的视频，持续提升抖音搜索的相关性 ；
2）点击率预估：解决搜索中的推荐问题，让抖音搜索在“相关”的基础上增加个性化的能力，更懂用户 ；
3）视频理解：综合运用NLP、CV、图神经网络等技术，从视频本身以及社交网络的角度进行视频理解，提高搜索结果的权威性、可信度和有用性；
4）新产品形态和技术：探索智能封面、视频摘要、视频精准问答等高效便捷的交互技术。

任职要求：
1、出色的分析问题、解决问题能力；
2、出色的机器学习和深度学习基础能力，在NLP、CV、CTR预估、图神经网络等方面有一定的应用经验；
3、优秀的代码能力、数据结构和基础算法功底；
4、熟悉Linux开发环境，熟练使用C++和Python语言；
5、有搜索算法经验者加分。",搜索算法工程师,机器学习; 深度学习; NLP; 计算机视觉; CTR预估; 图神经网络; Linux; C++; Python; 搜索算法; CV
多模态大模型算法工程师-商业信任与安全,"岗位职责：
团队介绍：商业信任与安全算法团队，聚焦于通过人工智能技术（包括但不限于NLP/CV/多模态/图/大模型）识别和治理问题广告内容和问题广告主，助力降低虚假宣传、不良暗示等内容发生概率，提升广告质量。该方向也是行业共同关注、长期研究的方向，在这里你可以基于平台能力及内容，深耕算法优化，为商业化各业务提供安全解决方案。

1、探索并落地超大规模多模态大模型，在业务场景做深度适配和极致优化；
2、参与多模态大模型多体裁内容数据链路建设、指令微调、偏好对齐、模型优化全流程实践；
3、将多模态大模型应用于图像/视频/文本内容理解（比如视频分类、视觉问答、跨模态检索、多模态表征）、交互、生成、逻辑推理等领域；
4、跟踪调研多模态大模型以及相关方向（包括但不限于CV/NLP/多模态/Agent）的前沿技术；
5、深入研究和探索多模态大模型在更多未来生活场景中的应用。

任职要求：
1、优秀的代码能力、数据结构和基础算法功底，熟练掌握C/C++或Python编程语言；
2、在ACM/ICPC、Top Coder、Kaggle等比赛中有优异的表现和获奖经历者优先考虑；
3、熟悉多模态和大模型训练、强化学习（RL）算法经验者优先；
4、在大模型领域，有主导过具有重要影响力的项目或发表过相关论文者优先；
5、出色的问题分析和解决能力，能够独立解决复杂的技术问题；
6、良好的沟通协作能力，能够与团队紧密合作，共同推进项目进展。",多模态算法工程师,C/C++; Python; 多模态; 大模型训练; 强化学习; NLP
推荐算法工程师-分发与互动,"岗位职责：
团队介绍：Data-抖音团队，负责抖音APP的推荐算法、AI大模型应用、内容算法、智能对话等算法工作，对接全链路各体裁（短视频，直播，图文）各业务（内容消费，UGC，打赏，社交，生态，投稿，消息，汽水音乐，精选，增长投放，评论，内容理解&安全、智能对话等）。我们的工作涉及大规模推荐算法的优化、复杂约束的优化问题的解决、内容理解、LLM技术技术研究、AI落地应用以及新业务方向探索、CV/NLP等多个学术领域的算法改进工作、对多种场景的推荐架构的设计和实现和对产品数据的复杂深入的分析工作。在这里，你可以深入钻研机器学习算法的改进和优化，探索工业界最领先的推荐系统架构和推荐大模型算法、可以通过使用最新的大模型等技术支持抖音的数字人、智能客服、AI工具等创新探索；可以通过对产品的深度理解和思考，将算法应用到业务中去；也可以通过对产品和内容生态的深度分析，影响产品未来的发展方向。

1、负责抖音的业务推荐算法工作，与同学合作，共同搭建行业顶尖的推荐系统，为用户提供一流的产品体验；
2、将最前沿的机器学习技术应用到抖音的场景业务，优化用户体验促进业务发展；
3、研究方向包含且不局限于：深度学习、图神经网络、多任务学习、Learning to Rank、模型压缩和加速、多模态技术等，结合业务的实际问题来做好技术的探索和研究；
4、和产品、运营团队紧密合作，通过对产品和用户的深入理解和分析，制定算法策略促进抖音生态的长期繁荣发展。

任职要求：
1、具备优秀的编码能力，扎实的数据结构和算法功底；
2、具备推荐算法和机器学习领域的探索热情，具备持续学习、深度思考与创新能力；
3、具备优秀的问题分析与解决能力，有良好的沟通表达能力和团队精神；
4、熟悉机器学习、自然语言处理、数据挖掘中一项或多项，对推荐系统、计算广告、搜索引擎相关领域有经验者优先。",推荐算法工程师,推荐算法; 机器学习; NLP; 图神经网络; 模型压缩; 模型加速; 多模态
推荐大模型算法实习生-抖音直播,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：团队负责抖音、抖音极速版、抖音火山版等App的直播体裁基建和直播营收业务，直播体裁基建立足对边生产边分发时效性高的直播体裁的理解，结合多模态信号理解动态的时间切片和长尾兴趣点，建立短视频域到直播域的兴趣迁移，在全场景分发直播体裁，满足用户看播需求并服务于营收、电商、生活服务、游戏等多业务。直播营收致力于为歌唱/舞蹈/弹奏/朗读/情感/户外等广泛的具有一技之长的普通人通过直播这个舞台被更多人看到获得收入，并满足用户多层次的精神消费和情感表达诉求，让优质内容供给持续增长反哺整个直播生态。

1、Scaling Law验证和落地：从样本设计、模型结构、训练范式等角度探索推荐模型Scaling up的最优路径，通过训练/推理优化在高ROI水平下持续提升模型能力天花板；
2、生成式推荐：在直播场景下探索Tokenization、Reward设计，摆脱传统推荐系统对id等记忆特征的重度依赖并提升链路MFU；
3、LLM4Rec：探索LLM在推荐场景下的后训练，以及在召回、排序等各环节的深度融合，提升推荐系统智能。

任职要求：
1、2027届硕士及以上学位在读，计算机/软件/人工智能/数学等相关专业的优先；
2、具有扎实的机器学习基础和编码能力，对推荐大模型技术有浓厚兴趣，紧跟行业前沿发展；
3、在搜索广告推荐大模型领域，有参与或者主导过关键项目的优先；
4、在国际会议发表论文者优先，包括但不限于KDD、SIGIR、RecSys、ACL、NeurIPS等；有推荐大模型相关论文者优先；
5、具备良好的沟通协作能力，能够与团队共同探索新技术，推动新技术在业务落地。",大模型算法工程师,机器学习; 生成式推荐; 模型后训练; 模型训练
推荐算法工程师-抖音,"岗位职责：
团队介绍：Data-抖音团队，负责抖音APP的推荐算法、内容算法、对话算法及大数据工作，对接各场景业务（短视频，直播，UGC，PGC，生态，消息，社交，音乐，评论，内容理解&安全、AI互动等）。我们的工作涉及大规模推荐算法的优化、复杂约束的优化问题的解决、内容理解、LLM应用以及新业务方向探索、CV/NLP等多个学术领域的算法改进工作、对多种场景的推荐架构的设计和实现和对产品数据的复杂深入的分析工作。在这里，你可以深入钻研机器学习算法的改进和优化，探索工业界最领先的推荐系统架构和推荐大模型算法、可以通过使用最新的大模型等技术支持抖音的数字人、智能客服、AI工具等创新探索；可以通过对产品的深度理解和思考，将算法应用到业务中去；也可以通过对产品和内容生态的深度分析，影响产品未来的发展方向。

1、负责抖音的业务推荐算法工作，与同学合作，共同搭建行业顶尖的推荐系统，为用户提供一流的产品体验；
2、将最前沿的机器学习技术应用到抖音的场景业务，优化用户体验促进业务发展；
3、研究方向包含且不局限于：深度学习、图神经网络、多任务学习、Learning to Rank、模型压缩和加速、多模态技术等，结合业务的实际问题来做好技术的探索和研究；
4、和产品、运营团队紧密合作，通过对产品和用户的深入理解和分析，制定算法策略促进抖音生态的长期繁荣发展。

任职要求：
1、具备优秀的编码能力，扎实的数据结构和算法功底；
2、具备推荐算法和机器学习领域的探索热情，具备持续学习、深度思考与创新能力；
3、具备优秀的问题分析与解决能力，有良好的沟通表达能力和团队精神；
4、熟悉机器学习、自然语言处理、数据挖掘中一项或多项，对推荐系统、计算广告、搜索引擎相关领域有经验者优先。",推荐算法工程师,推荐算法; 机器学习; NLP; 图神经网络; 模型压缩; 模型加速; 多模态
软件开发,"岗位职责：
1. 负责核心业务系统的软件开发与架构设计，基于业务需求进行模块规划、代码实现与性能优化，确保系统的高可用性与可扩展性；
2. 参与技术方案评审与代码审查，主导或协助解决关键技术难题，推动系统架构演进与技术标准化，提升团队整体技术能力；
3. 深入理解业务场景与流程，通过技术创新支撑业务模式拓展与效率提升，保障系统稳定高效运行，助力业务持续增长；
4. 协同跨职能团队推进项目落地，负责需求分析、开发实施与上线运维全流程，确保项目高质量交付与业务目标达成；
5. 关注行业技术发展趋势，结合业务实际进行技术预研与创新试点，推动先进技术在实际业务中的落地应用；
6. 负责相关技术文档的编写与维护，参与团队知识沉淀，促进团队专业能力提升与协作效率优化。

任职要求：
1. 教育背景：本科及以上学历，计算机科学、软件工程、信息技术等相关专业；
2. 工作经验：具备5-10年软件开发相关工作经验，有大型分布式系统或高并发项目开发经验者优先；具备技术方案设计、系统架构规划及核心模块开发能力；
3. 能力要求：精通Java/Python/Go等至少一门主流编程语言，熟悉常用设计模式与开发框架；掌握微服务架构、分布式存储、消息队列等核心技术，具备系统性能优化与高可用性设计经验；具备良好的系统分析与问题定位能力，能够独立完成复杂业务逻辑的技术实现与迭代；
4. 基本素质：具备强烈的责任心和团队协作精神，能够高效沟通并与跨职能团队紧密配合；具备较强的逻辑思维与独立解决问题能力，能适应快节奏工作环境并承担相应压力；关注技术发展趋势，具备良好的学习与创新能力。
符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",软件开发工程师,Java; Python; Go; 分布式存储; 性能优化; 分布式系统
数据分析师-TikTok用户增长,"岗位职责：
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok用户增长团队挖掘产品增长潜力，以技术驱动用户增长。团队不仅在产品中践行用户增长方法论、持续巩固增长能力，同时也在探索TikTok多模态的产品生态，撬动用户规模高速增长。
我们会极其地贴近业务，和产品、运营的同学们一起去探索用户增长方法论，持续巩固业务的增长能力。一起去通过业务中的数据表现进行洞察分析从而找到业务的机会点，围绕不同的增长业务模式，分析不同的业务需求，进行技术设计和实现。
也会从技术的视野去优化和升级我们的架构和系统，做纯技术层面的改造，用技术驱动业务的发展和改变。

1、深入理解业务，对数据进行分析，定位问题，制定投放策略，提升投放效果；
2、和上下游紧密合作，构建产品增长的指标体系，用数据驱动业务增长；
3、结合对业务的理解和业务分析方法，抽象和沉淀业务增长的模型，提升线上核心指标；
4、对各个产品的增长方式，进行潜力预估，指标设计，过程中关注数据，发现问题，迭代策略以及效果指标的总结。

任职要求：
1、熟悉各种数据统计的方法，有较强的数据获取能力，能够对现有数据进行分析从而发现问题；
2、较强的业务理解能力，能够快速的进行分析工作；
3、较强的逻辑分析能力，能够利用现有数据，对将来或其他不确定问题进行预估，并且能够设计多种指标相互验证。",数据分析师,数据统计; 数据获取; 指标设计
AIGC算法实习生-Seed,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：字节跳动 Seed 团队成立于 2023 年，致力于寻找通用智能的新方法，追求智能上限，为科技和社会发展作出贡献。
Seed 团队在 AI 领域拥有长期愿景与决心，团队研究方向涵盖 MLLM、GenMedia、AI for Science、机器人等，在中国、新加坡、美国等地设有实验室和岗位。目前，团队已推出业界领先的通用大模型以及前沿的多模态能力，支持豆包、即梦、TRAE 等超过 50 个应用场景，并通过火山引擎开放给企业客户。第三方数据显示，豆包 App 用户量在中国市场排名第一，豆包大模型日均 Token 调用量行业领先。

1、负责AIGC文生视频大模型算法的开发与性能提升，从事大规模训练，数据构建和算法设计等工作；
2、可以将相关技术应用到字节跳动旗下各产品线，并解决业务实际问题；
3、提出和实现前沿的算法，保持算法在工业界和学术界的领先。

任职要求：
1、2027届硕士及以上学位在读，计算机、软件工程等专业优先；
2、有扎实的数学和算法基础，有快速学习新技术的能力；
3、有扎实的编程基础，熟悉C++/Python等编程语言，具有快速复现前沿论文的能力；
4、熟悉Caffe、TensorFlow、Mxnet、PyTorch、Keras等框架中的一种或者一种以上；
5、在视频生成，VLM等方面有经验者、在顶级学术会议上发表论文者优先；
6、每周出勤4天及以上，可以持续实习至少3个月。",AIGC算法工程师,C++; Python; TensorFlow; PyTorch; VLM; AIGC
AIGC算法实习生-Seed,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：字节跳动 Seed 团队成立于 2023 年，致力于寻找通用智能的新方法，追求智能上限，为科技和社会发展作出贡献。
Seed 团队在 AI 领域拥有长期愿景与决心，团队研究方向涵盖 MLLM、GenMedia、AI for Science、机器人等，在中国、新加坡、美国等地设有实验室和岗位。目前，团队已推出业界领先的通用大模型以及前沿的多模态能力，支持豆包、即梦、TRAE 等超过 50 个应用场景，并通过火山引擎开放给企业客户。第三方数据显示，豆包 App 用户量在中国市场排名第一，豆包大模型日均 Token 调用量行业领先。

1、负责AIGC文生图大模型算法的开发与性能提升，从事大规模训练、数据构建和算法设计等工作；
2、将相关技术应用到字节跳动旗下各产品线，解决业务实际问题；
3、提出并实现前沿算法，保持算法在工业界和学术界的领先地位。

任职要求：
1、2027届硕士及以上学位在读，计算机、软件工程等专业优先；
2、有扎实的数学和算法基础，有快速学习新技术的能力；
3、有扎实的编程基础，熟悉C++/Python等编程语言，具有快速复现前沿论文的能力；
4、熟悉Caffe、TensorFlow、MXNet、PyTorch、Keras等框架中的一种或者一种以上；
5、在图像生成、LLM等方面有经验者、在顶级学术会议上发表论文者优先；
6、每周出勤4天及以上，可以持续实习至少3个月。",AIGC算法工程师,C++; Python; TensorFlow; PyTorch; 图像生成; LLM
