normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
Calling,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量 | 持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量
China-Shenzhen,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Work Location: China-Shenzhen | Work Location: China-Shenzhen
CI/CD,云原生与运维,technology,2,2,enterprise:2,job_9af441ed5d7442e29b68;job_603ec82f007cac5bab91,AI前线部署工程师FDE | 腾讯云-AI Agent测试工程师,构建AI Coding研效提升体系，基于上下文工程、Harness工程、CI/CD流水线集成，打造从需求到交付的AI驱动开发闭环 | 推动 AI 能力集成到 CI/CD 流水线，形成智能化测试左移与右移闭环
DeepSeek,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力 | 基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力
Demo,自动短语,auto_english,2,2,enterprise:2,job_9a47df4abd72fd7f6b3e;job_3953be93a8589d7d6e40,AI设计工程师 | PC游戏平台AI Builder,AI 驱动的原型开发：使用 AI Coding 工具直接将设计概念转化为可交互的高保真 Demo，能直接参与到研发工作中 | AI驱动的原型开发与闭环验证： 作为能“独立造物”的单元，熟练运用 AI Coding 工具将产品概念快速转化为可交互的高保真 Demo，实现MVP版本的独立研发、上线与敏捷验证
Diffusion,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_2d6edf8ba09774a376af,AI创意设计师 | 腾讯视频-AI动漫制片人,"AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具 | AI技术与动画创意融合：深度结合动画制作需求，探索并引入前沿的AIGC技术与工具（如Runway、Midjourney、Stable Diffusion、可灵、即梦等），应用于IP的前期创意开发"
Facebook,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号 | 想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号
Fatshark,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
FDE,自动短语,auto_english,2,2,enterprise:2,job_9af441ed5d7442e29b68;job_5a354104183ea6233371,AI前线部署工程师FDE | AI前线部署工程师FDE,AI前线部署工程师FDE | AI前线部署工程师FDE
Funcom,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
Function,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量 | 持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量
Go/Python,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理 | 使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理
Goddess,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
GPT/Claude,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力 | 基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力
Harness,自动短语,auto_english,2,2,enterprise:2,job_9af441ed5d7442e29b68;job_603ec82f007cac5bab91,AI前线部署工程师FDE | 腾讯云-AI Agent测试工程师,构建AI Coding研效提升体系，基于上下文工程、Harness工程、CI/CD流水线集成，打造从需求到交付的AI驱动开发闭环 | 设计并落地面向云产品测试场景的多 Agent 协作架构与 Testing Harness 工程体系，支撑用例生成、代码转化、缺陷修复、自我评估等能力协同运行
Honor,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
Infinite,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite 是腾讯旗下国际游戏业务品牌，致力为全球玩家带来充满乐趣、原汁原味的游戏体验，让玩家随时随地进入游戏世界 | Level Infinite 是腾讯旗下国际游戏业务品牌，致力为全球玩家带来充满乐趣、原汁原味的游戏体验，让玩家随时随地进入游戏世界
Inflexion,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
infra,自动短语,auto_english,2,2,enterprise:2,job_d1ad7c335b233d0cc89a;job_6a37ba5df765ce9e31da,AI infra规划架构师 | AI Infra研发工程师,AI infra规划架构师 | AI Infra研发工程师
Instagram,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号 | 想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号
King,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
Level,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite 是腾讯旗下国际游戏业务品牌，致力为全球玩家带来充满乐趣、原汁原味的游戏体验，让玩家随时随地进入游戏世界 | Level Infinite 是腾讯旗下国际游戏业务品牌，致力为全球玩家带来充满乐趣、原汁原味的游戏体验，让玩家随时随地进入游戏世界
Midjourney,AI应用,technology,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_2d6edf8ba09774a376af,AI创意设计师 | 腾讯视频-AI动漫制片人,"AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具 | AI技术与动画创意融合：深度结合动画制作需求，探索并引入前沿的AIGC技术与工具（如Runway、Midjourney、Stable Diffusion、可灵、即梦等），应用于IP的前期创意开发"
MOBILE,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
MVP,自动短语,auto_english,2,2,enterprise:2,job_3953be93a8589d7d6e40;job_9a9411dd451e1ea2b7ef,PC游戏平台AI Builder | AI技术型产品运营,AI驱动的原型开发与闭环验证： 作为能“独立造物”的单元，熟练运用 AI Coding 工具将产品概念快速转化为可交互的高保真 Demo，实现MVP版本的独立研发、上线与敏捷验证 | 要求能够利用低代码或现代前端框架（如 Next.js/Tailwind）进行“最小化可行产品 (MVP)”的快速产出与测试
NIKKE,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
Python,编程语言,technology,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理 | 使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理
ROI,自动短语,auto_english,2,2,enterprise:2,job_9af441ed5d7442e29b68;job_5a354104183ea6233371,AI前线部署工程师FDE | AI前线部署工程师FDE,开发提效工具和自动化工作流，开展客户与内部技术培训和运营推广，把AI Coding嵌入到生产工作流，产生可量化的ROI | 开发提效工具和智能体，开展客户与内部技术培训和运营推广，把AI工具嵌入到生产工作流，产生可量化的ROI
SaaS,自动短语,auto_english,2,2,enterprise:2,job_546d6ff9d78ac05ae1bd;job_297b7043a1e9d39ca960,游戏AI-后台开发工程师 | 企业微信-AI应用后台开发工程师-AI大模型应用（成都/北京）,负责游戏AI SaaS产品化建设和运营 | WXG；企业微信SaaS；技术；一年以上工作经验
skill,自动短语,auto_english,2,2,enterprise:2,job_367a9087facd6bfbc408;job_603ec82f007cac5bab91,腾讯视频-AI 产品经理 | 腾讯云-AI Agent测试工程师,参与腾讯视频worksolo等产品工作，包括AI Agent、skill、AI交互体验等核心模块的产品设计与迭代 | 将用例生成、执行转化、运行校验、置信度评估、根因定位、报告洞察等能力封装为标准化 Skill / MCP，建设跨产品线复用的智能测试能力底座
Stable,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_2d6edf8ba09774a376af,AI创意设计师 | 腾讯视频-AI动漫制片人,"AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具 | AI技术与动画创意融合：深度结合动画制作需求，探索并引入前沿的AIGC技术与工具（如Runway、Midjourney、Stable Diffusion、可灵、即梦等），应用于IP的前期创意开发"
Stable Diffusion,AI应用,technology,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_2d6edf8ba09774a376af,AI创意设计师 | 腾讯视频-AI动漫制片人,"AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具 | AI技术与动画创意融合：深度结合动画制作需求，探索并引入前沿的AIGC技术与工具（如Runway、Midjourney、Stable Diffusion、可灵、即梦等），应用于IP的前期创意开发"
Studios,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
Tool,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量 | 持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量
Twitter,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号 | 想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号
UGC,自动短语,auto_english,2,2,enterprise:2,job_4caaee10dee22e2d4b68;job_f857a0433693daf3affa,AI宠物-游戏策划 | 游戏AI产品策划,规划UGC工具链与创作生态体系，通过功能设计降低用户创作门槛并提升内容产出效率 | 与算法团队合作，推动AI生成（如大语言模型、多模态生成等）能力在游戏UGC中的应用
Victory,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
Workflow/DAG,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,设计并实现 Agent 编排框架（Workflow/DAG/多 Agent 协作），支持复杂创作链路（脚本→分镜→生图→生视频→剪辑合成 | 设计并实现 Agent 编排框架（Workflow/DAG/多 Agent 协作），支持复杂创作链路（脚本→分镜→生图→生视频→剪辑合成
www.levelinfinite.com,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号 | 想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号
WXG公共,岗位标签,title_or_tag,2,2,enterprise:2,job_a737e78dd5403743406e;job_841aecf8986f2816ce92,微信-AI应用开发工程师 | 微信-AI应用开发工程师,WXG公共 | WXG公共
Youtube,自动短语,auto_english,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f857a0433693daf3affa,AI创意设计师 | 游戏AI产品策划,想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号 | 想进一步了解Level Infinite，请访问www.levelinfinite.com，并在Twitter、Facebook、Instagram和Youtube上关注我们的官方账号
元宝,岗位标签,title_or_tag,2,2,enterprise:2,job_02045c718340d09dd064;job_c8cfd0eb9b126135e6e3,元宝- AI策略产品经理 | 元宝- AI策略产品经理,元宝 | 元宝
元宝- AI策略产品经理,岗位角色,title_or_tag,2,2,enterprise:2,job_02045c718340d09dd064;job_c8cfd0eb9b126135e6e3,元宝- AI策略产品经理 | 元宝- AI策略产品经理,元宝- AI策略产品经理 | 元宝- AI策略产品经理
内容,岗位标签,title_or_tag,2,2,enterprise:2,job_312693bbb93418da3e9a;job_2d6edf8ba09774a376af,腾讯视频-AI视效导演 | 腾讯视频-AI动漫制片人,内容 | 内容
微信-AI应用开发工程师,岗位角色,title_or_tag,2,2,enterprise:2,job_a737e78dd5403743406e;job_841aecf8986f2816ce92,微信-AI应用开发工程师 | 微信-AI应用开发工程师,微信-AI应用开发工程师 | 微信-AI应用开发工程师
生视频等业务场景的端到端自动化,游戏开发,auto_phrase,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,负责AI Agent 工作流的设计与研发，落地生图、生视频等业务场景的端到端自动化流程 | 负责AI Agent 工作流的设计与研发，落地生图、生视频等业务场景的端到端自动化流程
知识库,AI与大模型,technology,2,2,enterprise:2,job_f4c14f0b10002107315a;job_24f974ab0119fe19fdc7,AI原生产品经理 | AI研效高级工程师,系统整合与自动化闭环：设计并推动AI Agent与现有业务系统（如经营系统、知识库等）的深度集成方案，实现从“感知-决策-执行-反馈”的业务自动化闭环 | 通过提示词工程、知识库、Memory 和 Tools 等技术构建 Agent 能力实现业务提质增效
确保产品规划,产品运营,auto_phrase,2,2,enterprise:2,job_db71ea4d4a13e4348e47;job_04266fa15e75aa6ca5da,腾讯会议-AI产品经理-AI应用体验方向 | 腾讯会议-AI产品经理-AI应用体验方向,协同算法、研发、运营和设计等多团队，确保产品规划的落地实施与持续优化 | 协同算法、研发、运营和设计等多团队，确保产品规划的落地实施与持续优化
腾讯会议,岗位标签,title_or_tag,2,2,enterprise:2,job_db71ea4d4a13e4348e47;job_04266fa15e75aa6ca5da,腾讯会议-AI产品经理-AI应用体验方向 | 腾讯会议-AI产品经理-AI应用体验方向,腾讯会议 | 腾讯会议
腾讯会议-AI产品经理-AI应用体验方向,岗位角色,title_or_tag,2,2,enterprise:2,job_db71ea4d4a13e4348e47;job_04266fa15e75aa6ca5da,腾讯会议-AI产品经理-AI应用体验方向 | 腾讯会议-AI产品经理-AI应用体验方向,腾讯会议-AI产品经理-AI应用体验方向 | 腾讯会议-AI产品经理-AI应用体验方向
腾讯视频-AI Agent工程师,岗位角色,title_or_tag,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师
自动化,自动短语,auto_phrase,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_2851a784f7c6c75705fb,AI创意设计师 | AI 宠物-后台工程师,AI 专家级实操： 精通 ComfyUI 节点式逻辑、模型微调、插件调用及 Agent 自动化流程搭建 | 全流程负责服务开发、灰度发布、自动化监控告警及线上异常根因分析，持续提升系统SLA稳定性
营销与公关,岗位标签,title_or_tag,2,2,enterprise:2,job_1e7b19ea8790b10e1946;job_6fe133a2d9ea1119b7a1,云及AI 技术公关经理 | 高级-新媒体策划-AI方向,营销与公关 | 营销与公关
输出可落地的AI解决方案,AI与大模型,auto_phrase,2,2,enterprise:2,job_9af441ed5d7442e29b68;job_5a354104183ea6233371,AI前线部署工程师FDE | AI前线部署工程师FDE,深入行业场景，将模糊需求拆解为可执行的技术路线图，主导需求分析、技术选型、架构设计，输出可落地的AI解决方案 | 深入行业场景，将模糊需求拆解为可执行的技术路线图，主导需求分析、技术选型、架构设计，输出可落地的AI解决方案
需求分析,自动短语,auto_phrase,2,2,enterprise:2,job_9af441ed5d7442e29b68;job_5a354104183ea6233371,AI前线部署工程师FDE | AI前线部署工程师FDE,深入行业场景，将模糊需求拆解为可执行的技术路线图，主导需求分析、技术选型、架构设计，输出可落地的AI解决方案 | 深入行业场景，将模糊需求拆解为可执行的技术路线图，主导需求分析、技术选型、架构设计，输出可落地的AI解决方案
AI Infra研发工程师,岗位角色,title_or_tag,1,1,enterprise:1,job_6a37ba5df765ce9e31da,AI Infra研发工程师,AI Infra研发工程师
AI infra规划架构师,岗位角色,title_or_tag,1,1,enterprise:1,job_d1ad7c335b233d0cc89a,AI infra规划架构师,AI infra规划架构师
AI 宠物-后台工程师,岗位角色,title_or_tag,1,1,enterprise:1,job_2851a784f7c6c75705fb,AI 宠物-后台工程师,AI 宠物-后台工程师
AI产品架构师,岗位角色,title_or_tag,1,1,enterprise:1,job_7327bfadf20d1f534d7a,AI产品架构师,AI产品架构师
AI产品经理,岗位角色,title_or_tag,1,1,enterprise:1,job_c2396654a70c7aa00053,AI产品经理,AI产品经理
AI产品经理-AI生成游戏,岗位角色,title_or_tag,1,1,enterprise:1,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,AI产品经理-AI生成游戏
AI创意设计师,岗位角色,title_or_tag,1,1,enterprise:1,job_1f9a714ff03a61a3598c,AI创意设计师,AI创意设计师
AI原生产品经理,岗位角色,title_or_tag,1,1,enterprise:1,job_f4c14f0b10002107315a,AI原生产品经理,AI原生产品经理
AI宠物-客户端工程师,岗位角色,title_or_tag,1,1,enterprise:1,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,AI宠物-客户端工程师
AI宠物-游戏策划,岗位标签,title_or_tag,1,1,enterprise:1,job_4caaee10dee22e2d4b68,AI宠物-游戏策划,AI宠物-游戏策划
AI技术型产品运营,岗位标签,title_or_tag,1,1,enterprise:1,job_9a9411dd451e1ea2b7ef,AI技术型产品运营,AI技术型产品运营
AI渲染研究员,岗位标签,title_or_tag,1,1,enterprise:1,job_a1b9f0d64a7479d97c49,AI渲染研究员,AI渲染研究员
AI研效高级工程师,岗位角色,title_or_tag,1,1,enterprise:1,job_24f974ab0119fe19fdc7,AI研效高级工程师,AI研效高级工程师
AI设计工程师,岗位角色,title_or_tag,1,1,enterprise:1,job_9a47df4abd72fd7f6b3e,AI设计工程师,AI设计工程师
AI金融数据工程师,岗位角色,title_or_tag,1,1,enterprise:1,job_9a3bb0e9a5c245ce1cd2,AI金融数据工程师,AI金融数据工程师
Automated Testing,测试工具,technology,1,1,enterprise:1,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,建立客户端质量保障体系，设计自动化测试方案并制定工程规范，确保产品迭代稳定性
ComfyUI,AI应用,technology,1,1,enterprise:1,job_1f9a714ff03a61a3598c,AI创意设计师,"AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具"
CSIG HRBP-AI产研方向,岗位标签,title_or_tag,1,1,enterprise:1,job_59e8f1db21448650f5b0,CSIG HRBP-AI产研方向,CSIG HRBP-AI产研方向
Deep Learning,数据与算法,technology,1,1,enterprise:1,job_efa27b8fcd7bfb62bec3,WeGame游戏平台-AI算法研究,结合游戏平台业务垂直场景，负责深度学习和大语言模型的训练精调、调优及部署，及智能体Agent开发
ETL,数据工程,technology,1,1,enterprise:1,job_efa27b8fcd7bfb62bec3,WeGame游戏平台-AI算法研究,负责大规模平台用户行为数据集的ETL及特征工程，构建高效数据流水线，落地到用户画像体系并服务到线上AI应用
Few-shot,AI与大模型,technology,1,1,enterprise:1,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,编写需求澄清问题库和对话示例集（Few-shot Examples），提升LLM对游戏需求的理解准确率
Flux,数据与算法,technology,1,1,enterprise:1,job_1f9a714ff03a61a3598c,AI创意设计师,"AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具"
IEG微信游戏合作中心-小游戏合集,岗位标签,title_or_tag,1,1,enterprise:1,job_6394c9a8372e3e23f95f,AI产品经理-AI生成游戏,IEG微信游戏合作中心-小游戏合集
IP,产品运营,business,1,1,enterprise:1,job_2d6edf8ba09774a376af,腾讯视频-AI动漫制片人,AI技术与动画创意融合：深度结合动画制作需求，探索并引入前沿的AIGC技术与工具（如Runway、Midjourney、Stable Diffusion、可灵、即梦等），应用于IP的前期创意开发
Model Training,AI基础设施,technology,1,1,enterprise:1,job_d1ad7c335b233d0cc89a,AI infra规划架构师,通过AI基础设施和软硬件协同优化来提升公司大模型训练和推理的效率
PC游戏平台AI Builder,岗位标签,title_or_tag,1,1,enterprise:1,job_3953be93a8589d7d6e40,PC游戏平台AI Builder,PC游戏平台AI Builder
Project W-AI引擎工程师,岗位角色,title_or_tag,1,1,enterprise:1,job_db9d345c441d8e6344d8,Project W-AI引擎工程师,Project W-AI引擎工程师
PUBG Mobile-3D角色模型（AI方向,岗位标签,title_or_tag,1,1,enterprise:1,job_f515ca6c0c0dea5c6d25,PUBG Mobile-3D角色模型（AI方向）,PUBG Mobile-3D角色模型（AI方向
